time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,trend,support,resistance
2025-11-24 11:00:00,4063.24,4074.2,4063.13,4071.84,5032,5,0,4066.4705000000004,4061.0267628212127,4063.7708000000002,4064.8440158918124,4101.8275,4076.971775099961,44.974851394604556,-1.7072175643465926,-2.3511926435552346,0.643975079208642,15.712142857142908,1,4039.89,4101.25
2025-11-24 12:00:00,4071.89,4077.09,4063.53,4063.98,4741,5,0,4065.696,4061.3080235049074,4063.6787999999997,4064.8101329156625,4101.5757,4076.8424786830265,39.47508896797156,-1.2700385361763438,-2.1349618220794566,0.8649232859031128,15.99785714285716,-1,4039.89,4101.25
2025-11-24 13:00:00,4063.99,4071.67,4063.18,4069.93,4505,5,0,4065.6125,4062.129164123488,4063.8786000000005,4065.0109120170086,4101.35505,4076.7736846192784,51.263243683781596,-0.43840210628604837,-1.7956498789207749,1.3572477726347265,14.203571428571454,1,4039.89,4101.25
2025-11-24 14:00:00,4070.12,4084.02,4065.89,4080.42,4886,5,0,4066.1495000000004,4063.8711484926794,4064.2126000000003,4065.615189977126,4101.1415,4076.80997324828,57.14688469128844,1.0549700493975251,-1.2255258932571147,2.28049594265464,14.450714285714346,1,4039.89,4101.25
2025-11-24 15:00:00,4080.62,4086.06,4073.71,4077.74,5310,5,0,4065.0455,4065.191991493376,4064.485,4066.0906727231213,4100.8823,4076.819228984144,51.2864493996568,1.999179344598815,-0.5805848456859286,2.5797641902847435,14.436428571428612,1,4039.89,4101.25
2025-11-24 16:00:00,4077.93,4086.0,4068.49,4081.2,5549,5,0,4064.8295,4066.716563732102,4064.9088,4066.6831953614305,4100.6555499999995,4076.8628268522043,57.159401979364034,2.992173187339631,0.13396676091918355,2.8582064264204474,14.391428571428637,1,4039.89,4092.28
2025-11-24 17:00:00,4081.26,4093.89,4081.26,4091.78,5709,5,0,4065.2769999999996,4069.103557662378,4065.5292,4067.6673837786293,4100.401150000001,4077.011283765584,78.66844530681537,4.580049580514242,1.0231833248381954,3.5568662556760464,13.124285714285763,1,4039.89,4093.89
2025-11-24 18:00:00,4091.96,4098.85,4089.72,4097.18,5305,5,0,4065.754,4071.7775045516755,4065.8375999999994,4068.8247412775063,4100.22195,4077.2120040926634,80.77939993102642,6.202687215275091,2.059084102925575,4.143603112349516,12.997142857142924,1,4039.89,4098.85
2025-11-24 19:00:00,4097.55,4100.39,4089.13,4092.8,5065,5,0,4067.0215000000003,4073.7796469753257,4066.0847999999996,4069.764947501918,4100.0279,4077.3671365227788,75.11498997523276,7.05389690387301,3.0580466631150625,3.9958502407579477,12.775000000000091,1,4039.89,4100.39
2025-11-24 20:00:00,4092.91,4125.41,4087.99,4120.49,5161,9,0,4069.7854999999995,4078.2282520252948,4066.6222,4071.7541652469413,4100.0105,4077.7962964116427,85.96425211665057,9.84930168093615,4.416297666679281,5.43300401425687,14.107857142857224,1,4039.89,4125.41
2025-11-24 21:00:00,4120.38,4124.11,4114.09,4118.52,4774,5,0,4071.9519999999998,4082.06556135622,4067.5836000000004,4073.588119550983,4100.04335,4078.201579076655,84.06303076052097,11.770039877427735,5.887046108828972,5.882993768598762,14.146428571428617,1,4039.89,4125.41
2025-11-24 22:00:00,4118.43,4133.36,4117.95,4132.65,4766,5,0,4075.2045,4086.8831269413417,4069.2546,4075.904271725454,4100.1548,4078.7434492984094,85.06763327734065,14.267939719380138,7.563224830939206,6.7047148884409316,14.335000000000036,1,4039.89,4133.36
2025-11-24 23:00:00,4132.54,4139.97,4130.18,4134.57,2727,5,0,4079.708,4091.424733899309,4070.6243999999992,4078.2048885205336,4100.3043,4079.2990336877547,84.404432132964,16.215548544621015,9.29368957367557,6.921858970945445,13.883571428571454,1,4039.89,4139.97
2025-11-25 01:00:00,4135.3,4144.36,4125.14,4143.87,3772,5,0,4084.72,4096.419521146994,4072.2918,4080.779990931493,4100.4322999999995,4079.941641166445,85.20367936925105,18.298540660753588,11.094659791091175,7.203880869662413,14.717857142857124,1,4039.89,4144.36
2025-11-25 02:00:00,4143.75,4144.33,4127.65,4129.43,4199,5,0,4088.6810000000005,4099.563376275852,4073.1894,4082.687834424376,4100.49435,4080.434146343102,73.94594594594619,18.570075331105272,12.589742899093997,5.980332432011275,15.118571428571451,1,4039.89,4144.36
2025-11-25 03:00:00,4129.44,4139.19,4122.46,4134.75,4745,5,0,4093.2169999999996,4102.914483297199,4074.3418,4084.7294879763613,4100.5118,4080.9746935442945,80.06116727550793,18.995578843990188,13.870910088073236,5.124668755916952,15.344999999999995,1,4039.89,4144.36
2025-11-25 04:00:00,4134.59,4155.61,4132.89,4151.33,4624,10,0,4098.467500000001,4107.525484887942,4075.8253999999997,4087.341272761602,4100.6453,4081.6748629746853,81.712638304504,20.43509779175929,15.183747628810448,5.251350162948842,16.3614285714285,1,4045.28,4155.61
2025-11-25 05:00:00,4150.9,4150.9,4139.56,4143.27,4417,5,0,4102.964999999999,4110.9297244224235,4077.1128000000003,4089.534556182716,4100.723000000001,4082.287851001968,74.9583035501554,20.687084456915727,16.284414994431508,4.402669462484219,15.907142857142746,1,4051.46,4155.61
2025-11-25 06:00:00,4143.02,4148.38,4139.59,4140.79,3876,5,0,4107.002,4113.773560191717,4078.4521999999997,4091.5445735873154,4100.795749999999,4082.870056997145,75.07755946225483,20.45092489876788,17.117716975298784,3.3332079234690966,15.652857142857036,1,4059.55,4155.61
2025-11-25 07:00:00,4141.11,4152.13,4141.05,4150.95,4041,16,0,4111.3745,4117.314173506791,4080.1022,4093.8741981525186,4100.899600000001,4083.5475788872177,76.33864511743865,20.843324961202597,17.862838572479546,2.980486388723051,15.212142857142746,1,4063.13,4155.61
2025-11-25 08:00:00,4150.93,4151.96,4138.72,4141.6,4603,10,0,4114.8625,4119.627109363287,4081.7896,4095.745798224969,4100.9724,4084.125307379147,68.98917517914364,20.16736119289726,18.32374309656309,1.843618096334172,15.25142857142844,1,4063.18,4155.61
2025-11-25 09:00:00,4141.5,4146.06,4130.21,4132.53,4786,5,0,4118.29,4120.855956090592,4083.3154,4097.188315941637,4100.9517000000005,4084.6070224393343,63.107156099369696,18.684399708407,18.39587441893187,0.28852528947512823,15.731428571428426,1,4063.18,4155.61
2025-11-25 10:00:00,4132.77,4139.63,4109.01,4116.12,4899,5,0,4120.5995,4120.404912653393,4084.5946000000004,4097.930734924317,4100.62495,4084.920633602285,57.93845315904144,16.000547836418264,17.916809102429152,-1.9162612660108884,17.114285714285547,1,4065.89,4155.61
2025-11-25 11:00:00,4116.29,4131.25,4113.76,4128.46,4937,6,0,4123.0015,4121.17206382926,4085.9912,4099.127961005716,4100.28535,4085.3539284246153,53.029727058465895,14.699859927180114,17.273419267379346,-2.573559340199232,15.690714285714096,1,4068.49,4155.61
2025-11-25 12:00:00,4128.41,4138.7,4127.48,4131.25,4672,16,0,4125.677000000001,4122.131867274093,4087.958,4100.387648809414,4099.9452,4085.81067598635,54.80921798262173,13.73584677974577,16.56590476985263,-2.8300579901068588,15.776428571428434,1,4068.49,4155.61
2025-11-25 13:00:00,4131.3,4137.23,4127.65,4133.43,4627,5,0,4128.288500000001,4123.207879914656,4089.9930000000004,4101.683427287477,4099.57775,4086.284572250347,50.323920265781005,12.99793509124629,15.852310834131362,-2.854375742885072,15.359999999999868,1,4081.26,4155.61
2025-11-25 14:00:00,4133.81,4138.71,4115.99,4129.94,4862,5,0,4130.1965,4123.849034208498,4091.7713999999996,4102.791528178163,4099.23975,4086.7190200968726,48.10199229318681,11.993269978133867,15.080502662931865,-3.087232684797998,16.283571428571317,1,4087.99,4155.61
2025-11-25 15:00:00,4130.17,4150.88,4129.38,4147.87,5176,7,0,4132.731,4126.13674523626,4093.7176,4104.559311386863,4098.99935,4087.32757836906,51.531393568147,12.49977714047509,14.564357558440511,-2.0645804179654217,16.446428571428505,1,4087.99,4155.61
2025-11-25 16:00:00,4147.69,4148.75,4111.53,4124.98,5372,5,0,4134.339999999999,4126.026579023283,4095.4727999999996,4105.360122705025,4098.6479,4087.702284688737,48.399856166846206,10.928182727602689,13.837122592272948,-2.908939864670259,17.913571428571363,1,4087.99,4155.61
2025-11-25 17:00:00,4125.13,4133.77,4117.99,4123.09,5246,10,0,4134.47,4125.746904830589,4097.2044,4106.05541201071,4098.30765,4088.0544527697352,45.70122400825844,9.42156963800062,12.954012001418482,-3.5324423634178626,17.845714285714298,1,4109.01,4155.61
2025-11-25 18:00:00,4122.66,4141.45,4122.14,4136.28,4903,8,0,4135.358,4126.750056751485,4098.6122,4107.240689971074,4097.9581,4088.5343784601178,44.30915828480673,9.186000184459772,12.200409638026741,-3.0144094535669694,17.602142857142876,1,4109.01,4155.61
2025-11-25 19:00:00,4136.11,4159.28,4136.0,4146.09,5132,5,0,4136.030000000001,4128.5919561084875,4099.9446,4108.764192325149,4097.7267,4089.107153331158,51.05239587998197,9.679317562062351,11.696191222833864,-2.0168736607715125,18.42428571428575,1,4109.01,4159.28
2025-11-25 20:00:00,4146.08,4150.73,4132.47,4134.53,4645,5,0,4136.028,4129.157484098156,4101.2032,4109.774616155535,4097.44855,4089.5591861183348,47.81210680833211,9.0333489255745,11.163622763381992,-2.1302738378074917,19.100714285714275,1,4109.01,4159.28
2025-11-25 21:00:00,4134.33,4140.27,4128.52,4133.75,4485,5,0,4135.522,4129.594866564998,4102.4846,4110.714827286691,4097.0507,4089.9989575112386,43.56672651107134,8.362081772478632,10.603314565201321,-2.2412327927226894,19.129999999999978,1,4109.01,4159.28
2025-11-25 22:00:00,4134.34,4138.43,4130.56,4132.21,4447,5,0,4135.661,4129.84392689214,4103.1323999999995,4111.557775236232,4096.6651,4090.419026330061,46.26996107094613,7.618016831763271,10.006255018513713,-2.388238186750442,18.74642857142856,1,4109.01,4159.28
2025-11-25 23:00:00,4132.19,4132.43,4127.61,4130.59,2449,14,0,4135.4529999999995,4129.914981473841,4104.0338,4112.304136991675,4096.25565,4090.8187925784387,49.18088160783668,6.819014193518342,9.36880685351464,-2.5497926599962977,17.958571428571435,1,4109.01,4159.28
2025-11-26 01:00:00,4134.09,4137.0,4129.74,4133.5,2628,5,0,4134.5615,4130.256411809665,4105.0472,4113.135347305726,4095.8716,4091.2435391359295,58.2825009531071,6.347442164198583,8.764533915651429,-2.417091751452846,16.290000000000028,1,4109.01,4159.28
2025-11-26 02:00:00,4133.74,4144.39,4132.71,4142.92,3908,5,0,4134.544,4131.462467827792,4106.1528,4114.303372901581,4095.4866,4091.7578022130983,57.08823529411761,6.657094367275931,8.34304600597633,-1.6859516387003985,15.875000000000066,1,4109.01,4159.28
2025-11-26 03:00:00,4142.66,4152.87,4138.71,4148.43,4683,5,0,4134.926,4133.078423272765,4107.7724,4115.6416720034795,4095.0648499999998,4092.321780070245,58.20282658517957,7.2633792059568805,8.12711264597244,-0.8637334400155599,16.085000000000036,1,4109.01,4159.28
2025-11-26 04:00:00,4148.37,4166.79,4147.34,4161.64,5040,7,0,4135.4605,4135.798573437263,4109.701,4117.4455280033435,4094.70725,4093.0116048989416,62.1857451403887,8.709404316537075,8.243570980085368,0.4658333364517073,16.790000000000028,1,4109.01,4166.79
2025-11-26 05:00:00,4161.94,4169.35,4160.37,4165.98,4405,16,0,4136.6795,4138.672995014666,4111.5168,4119.348840630663,4094.4120499999995,4093.737753729748,65.45454545454552,10.089288328341354,8.612714449736565,1.476573878604789,15.808571428571472,1,4109.01,4169.35
2025-11-26 06:00:00,4166.08,4167.09,4156.6,4161.98,4103,10,0,4138.152,4140.892709775174,4113.4044,4121.020650802009,4094.06925,4094.4168691557556,56.87153014512505,10.73632807173999,9.037437174137251,1.6988908976027393,15.022142857142885,1,4109.01,4169.35
2025-11-26 07:00:00,4162.19,4168.53,4160.3,4162.25,4388,6,0,4140.4585,4142.926737415633,4115.7594,4122.63748802546,4093.66745,4095.091912381869,73.27920049968819,11.14245518612097,9.458440776533996,1.6840144095869736,12.95142857142855,1,4111.53,4169.35
2025-11-26 08:00:00,4162.12,4162.83,4146.6,4150.11,4828,5,0,4141.540999999999,4143.6108576617635,4117.889,4123.714841436226,4093.2586000000006,4095.63942566083,64.96124031007723,10.365233350536982,9.639799291334594,0.7254340592023887,12.983571428571329,1,4111.53,4169.35
2025-11-26 09:00:00,4150.12,4161.18,4149.23,4157.32,4373,6,0,4142.8445,4144.916490265406,4120.0312,4125.032690791669,4093.06705,4096.25323999412,62.4762808349145,10.213333241740656,9.754506081415807,0.4588271603248497,12.457857142857133,1,4111.53,4169.35
2025-11-26 10:00:00,4157.34,4168.46,4154.96,4161.08,4887,5,0,4144.227,4146.455872144891,4122.3722,4126.4463107606225,4092.86,4096.898362790831,59.57582726459672,10.27787494291988,9.859179853716622,0.4186950892032577,11.759285714285722,1,4111.53,4169.35
2025-11-26 11:00:00,4161.14,4164.62,4156.78,4162.72,4561,5,0,4145.866,4148.00483670252,4124.700199999999,4127.868808377853,4092.64,4097.553385284738,70.62179956108292,10.342141233669281,9.955772129707155,0.3863691039621262,11.015000000000068,1,4111.53,4169.35
2025-11-26 12:00:00,4162.81,4165.14,4156.11,4159.88,4434,16,0,4146.4665,4149.135804635614,4126.8314,4129.1241492257805,4092.4312000000004,4098.173626381807,68.5556028973156,10.04808045025402,9.974233793816529,0.07384665643749067,10.8207142857144,1,4111.53,4169.35
2025-11-26 13:00:00,4159.96,4173.05,4157.74,4171.63,4606,5,0,4148.799000000001,4151.278108956031,4129.063,4130.791045334574,4092.4994499999993,4098.90462399134,74.44802778466862,10.640504845581745,10.107488004169573,0.5330168414121719,11.352142857143008,1,4117.99,4173.05
2025-11-26 14:00:00,4171.68,4173.45,4149.04,4155.16,5129,5,0,4150.402499999999,4151.647812864981,4130.8962,4131.746690615571,4092.4557,4099.464446017137,62.86791662302263,9.669549544534675,10.019900312242594,-0.3503507677079192,12.751428571428667,1,4122.14,4173.45
2025-11-26 15:00:00,4155.14,4166.67,4149.21,4153.16,5425,6,0,4151.246499999999,4151.7918306873635,4132.5226,4132.58642823849,4092.4024,4099.998793489623,60.395516074449866,8.639091122979153,9.743738474389907,-1.1046473514107547,13.480000000000084,1,4127.61,4173.45
2025-11-26 16:00:00,4153.3,4157.04,4139.92,4142.26,5541,5,0,4151.055,4150.884037288567,4134.0882,4132.965783993843,4092.25765,4100.419352373259,49.65639316951278,6.8637850534069,9.167747790193307,-2.3039627367864064,13.868571428571483,1,4127.61,4173.45
2025-11-26 17:00:00,4141.13,4165.67,4136.7,4165.2,5608,7,0,4152.5885,4152.247462308703,4135.9936,4134.229870896044,4092.1537,4101.064010850205,57.389618401339334,7.22462747692316,8.779123727539277,-1.5544962506161166,14.926428571428655,1,4127.61,4173.45
2025-11-26 18:00:00,4165.45,4168.38,4160.81,4167.02,5119,9,0,4154.252,4153.654370660255,4137.7256,4135.515758311885,4092.06945,4101.720364867884,52.63518808777433,7.570192025524193,8.53733738713626,-0.9671453616120669,14.077857142857217,1,4127.61,4173.45
2025-11-26 19:00:00,4167.02,4169.61,4165.06,4167.18,4713,5,0,4156.0005,4154.942525835469,4139.5144,4136.757493280046,4091.955,4102.371778725439,50.61287027579199,7.76742701915191,8.38335531353939,-0.61592829438748,13.761428571428562,1,4127.61,4173.45
2025-11-26 20:00:00,4167.21,4171.64,4157.96,4164.65,5040,5,0,4157.7035,4155.867047184472,4141.1834,4137.851317072985,4091.7428499999996,4102.991532414743,51.384423934460244,7.631614811662075,8.233007213163926,-0.601392401501851,13.98928571428574,1,4129.74,4173.45
2025-11-26 21:00:00,4164.64,4170.05,4162.48,4163.28,4305,5,0,4159.1925,4156.573042690712,4142.6134,4138.848520325025,4091.5370000000003,4103.59148465342,50.52804265354236,7.32895151734192,8.052196073999525,-0.7232445566576047,13.942142857142958,1,4132.71,4173.45
