time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,trend,support,resistance,swing_high,swing_low,structure
2026-01-28 20:50:00,5278.75,5283.35,5273.75,5275.39,3787,4,0,5293.746,5290.171080530542,5285.7919999999995,5286.624070265705,5268.85765,5257.614796027237,44.471918050159196,-1.8262655345697567,2.023852391521303,-3.85011792609106,13.587142857143006,-1,5268.78,5326.02,False,False,NONE
2026-01-28 20:55:00,5275.41,5283.69,5273.74,5283.16,3516,4,0,5293.244000000001,5289.503358575253,5285.9028,5286.488224371705,5269.209250000001,5257.871480964413,47.42914472034087,-2.093236240232727,1.200434665170497,-3.293670905403224,13.832142857143026,-1,5268.78,5326.02,False,False,NONE
2026-01-28 21:00:00,5283.16,5293.13,5269.41,5276.56,4901,4,0,5292.1295,5288.270657758562,5285.9928,5286.098882236102,5269.511750000001,5258.059249721464,39.27635028841106,-2.805042505464371,0.3993392310435231,-3.2043817365078944,14.594285714285954,-1,5268.78,5326.02,False,True,NONE
2026-01-28 21:05:00,5276.56,5283.19,5271.08,5280.99,4390,4,0,5291.040999999999,5287.577261781556,5285.888199999999,5285.898533911447,5269.8258000000005,5258.289619004933,42.64121609949893,-2.977368867052064,-0.27600238857559456,-2.7013664784764697,14.90714285714304,-1,5268.78,5326.02,False,False,NONE
2026-01-28 21:10:00,5281.1,5297.6,5278.89,5297.37,4364,4,0,5291.233,5288.509903516647,5285.959599999999,5286.3483953302875,5270.19145,5258.682194675835,51.23908977556123,-1.7717856020044565,-0.575159031261367,-1.1966265707430894,15.68500000000014,1,5268.78,5326.02,False,False,NONE
2026-01-28 21:15:00,5297.28,5301.91,5292.87,5296.61,4322,4,0,5291.823,5289.281341276966,5287.0478,5286.7508112027845,5270.564650000001,5259.063156107857,46.588513114615715,-0.8676758005913143,-0.6336623851273565,-0.23401341546395782,15.477857142857244,1,5268.78,5326.02,True,False,NONE
2026-01-28 21:20:00,5296.65,5301.58,5289.22,5294.07,4532,4,0,5292.130999999999,5289.737404012493,5287.7916000000005,5287.037838216562,5270.927699999999,5259.414745185455,47.4856013066275,-0.3520607048903912,-0.5773420490799634,0.22528134418957224,15.609285714285761,1,5268.78,5326.02,False,False,NONE
2026-01-28 21:25:00,5294.07,5295.84,5282.66,5283.52,3935,4,0,5291.8415,5289.145270297017,5288.3358,5286.899883775717,5271.204249999999,5259.656822266445,38.42715943274605,-0.7856721176040082,-0.6190080627847725,-0.16666405481923574,15.644285714285745,-1,5268.78,5326.02,False,False,NONE
2026-01-28 21:30:00,5283.52,5293.02,5281.11,5292.47,4996,4,0,5291.41,5289.461911221111,5288.7912,5287.118319707572,5271.493899999999,5259.986318287615,37.30637962719879,-0.40248251653792977,-0.575702953535404,0.17322043699747425,15.377857142857206,1,5268.78,5326.02,False,True,NONE
2026-01-28 21:35:00,5292.47,5306.17,5291.57,5301.02,4252,4,0,5291.5595,5290.562681581006,5289.419,5287.6634836441835,5271.839199999999,5260.3983234976995,48.01125703564736,0.5843752337723345,-0.3436873160738563,0.9280625498461907,14.995000000000086,1,5268.78,5326.02,False,False,NONE
2026-01-28 21:40:00,5301.0,5312.28,5293.41,5310.85,4071,4,0,5292.3925,5292.494807144719,5290.170999999999,5288.572758801122,5272.21035,5260.904845788105,61.71977744056673,2.1350543802127504,0.1520610231834652,1.9829933570292853,14.031428571428673,1,5268.78,5326.02,False,False,BOS_BULLISH
2026-01-28 21:45:00,5310.85,5319.66,5304.59,5316.07,4599,4,0,5292.961,5294.740063607127,5291.0042,5289.651081991921,5272.56515,5261.458640656891,73.31193269869443,3.7420530917524957,0.8700594368972716,2.871993654855224,13.577857142857217,1,5268.78,5326.02,False,False,BOS_BULLISH
2026-01-28 21:50:00,5316.07,5319.59,5310.72,5315.96,3774,4,0,5293.763,5296.761009930257,5291.7188,5290.682804272748,5272.9271,5262.005723312832,73.46644481419959,4.949678257865344,1.6859832010908862,3.2636950567744574,13.382142857142949,1,5268.78,5326.02,False,False,BOS_BULLISH
2026-01-28 21:55:00,5315.96,5331.91,5314.7,5325.32,4036,4,0,5294.5065,5299.480913746423,5292.7076,5292.041125681409,5273.351900000001,5262.641213969524,74.663700879145,6.586083407866681,2.666003242446046,3.9200801654206354,13.942857142857195,1,5268.78,5331.91,False,False,BOS_BULLISH
2026-01-28 22:00:00,5325.41,5336.72,5325.08,5332.29,4231,4,0,5295.0470000000005,5302.605588627716,5293.8652,5293.619512918063,5273.8126,5263.340223924837,79.02468883901321,8.34912352928859,3.8026272998145556,4.546496229474035,14.088571428571479,1,5268.78,5336.72,False,False,BOS_BULLISH
2026-01-28 22:05:00,5332.3,5338.83,5325.1,5332.14,3650,4,0,5296.391,5305.418389710791,5294.9421999999995,5295.130120262403,5274.287,5264.0306536852595,77.09070796460296,9.62331025086587,4.966763890024819,4.656546360841051,14.35857142857146,1,5268.78,5338.83,False,False,BOS_BULLISH
2026-01-28 22:10:00,5332.14,5332.33,5322.72,5326.6,3879,4,0,5298.337,5307.435685928811,5295.8468,5296.364233199406,5274.736399999999,5264.658505478636,78.00537273337889,10.070000015623918,5.98741111514464,4.082588900479278,13.350714285714275,1,5268.78,5338.83,False,False,BOS_BULLISH
2026-01-28 22:15:00,5326.63,5338.93,5321.19,5338.76,3891,4,0,5301.5775,5310.418953935591,5296.9494,5298.026812297543,5275.2787,5265.402013917846,79.75687648089095,11.27524128413097,7.044977148941907,4.2302641351890635,13.752857142857206,1,5269.41,5338.93,False,True,BOS_BULLISH
2026-01-28 22:20:00,5338.75,5342.18,5332.69,5338.28,3813,4,0,5304.808999999999,5313.072386894107,5298.027000000001,5299.605368685254,5275.8025,5266.133185121578,75.20019711716196,12.052735254794243,8.046528770112374,4.006206484681869,13.094285714285823,1,5269.41,5342.18,False,False,BOS_BULLISH
2026-01-28 22:25:00,5338.28,5355.85,5337.41,5354.66,4476,4,0,5308.6044999999995,5317.0331119518105,5299.3692,5301.764373844343,5276.375550000001,5267.021284772522,79.98760202500326,13.831196510957852,9.20346231828147,4.627734192676382,13.765714285714434,1,5269.41,5355.85,False,False,BOS_BULLISH
2026-01-28 22:30:00,5354.62,5363.93,5353.15,5359.37,4529,4,0,5312.8035,5321.065196527828,5300.83,5304.023418016852,5276.9804,5267.947649951912,82.99312853678322,15.442683859679164,10.45130662656101,4.991377233118154,13.65285714285736,1,5269.41,5363.93,False,False,BOS_BULLISH
2026-01-28 22:35:00,5359.35,5378.02,5358.8,5376.33,4787,4,0,5317.4619999999995,5326.328511144226,5302.608,5306.8589702629915,5277.68605,5269.0347631992845,94.04004934991002,17.882194644462288,11.937484230141267,5.944710414321021,14.08428571428593,1,5269.41,5378.02,False,False,BOS_BULLISH
2026-01-28 22:40:00,5376.35,5391.34,5374.58,5383.86,5341,4,0,5322.826999999999,5331.807700559061,5304.732000000001,5309.878618499745,5278.406599999999,5270.186408624289,93.95863395863414,20.190390334599215,13.588065451032861,6.602324883566354,14.430714285714462,1,5271.08,5391.34,True,False,NONE
2026-01-28 22:45:00,5383.86,5391.33,5377.65,5388.69,5372,4,0,5328.212,5337.225062410579,5306.8426,5312.969260923097,5279.166700000001,5271.374852044756,93.73441085503359,22.154014988300332,15.301255358486355,6.852759629813978,14.36500000000017,1,5278.89,5391.34,False,False,NONE
2026-01-28 22:50:00,5388.67,5391.13,5367.48,5369.32,5592,4,0,5331.8095,5340.281723133381,5308.5624,5315.179093836026,5279.836799999999,5272.357042776517,76.63295982508886,21.894814759852125,16.61996723875951,5.274847521092614,14.70642857142879,1,5281.11,5391.34,False,False,NONE
2026-01-28 22:55:00,5369.31,5383.44,5368.56,5376.86,5469,4,0,5335.822,5343.76536854925,5310.233,5317.597952909645,5280.552,5273.404913565674,77.11660272994932,22.043705580756978,17.704714907159005,4.338990673597973,14.692857142857324,1,5281.11,5391.34,False,False,NONE
2026-01-28 23:00:00,5376.92,5390.69,5376.83,5387.6,2179,4,0,5340.4985,5347.9400953540835,5312.138000000001,5320.3431312360335,5281.298550000001,5274.5498810628405,79.18839634941338,22.76589975006027,18.71695187573926,4.048947874321012,15.049285714285881,1,5281.11,5391.34,False,False,NONE
2026-01-28 23:05:00,5387.72,5396.03,5386.15,5392.07,1746,4,0,5345.926,5352.142943415599,5313.982,5323.155949627912,5282.0689,5275.728096978676,78.32470508359503,23.428862136265707,19.65933392784455,3.769528208421157,14.525714285714457,1,5281.11,5396.03,True,False,NONE
2026-01-28 23:10:00,5392.07,5394.9,5378.33,5386.98,1899,4,0,5350.6515,5355.460758328399,5315.672,5325.658853571749,5282.81585,5276.843385840376,73.58344113842159,23.275241645274036,20.38251547133045,2.8927261739435863,14.87785714285727,1,5291.57,5396.03,False,False,NONE
2026-01-28 23:15:00,5386.96,5390.59,5379.99,5386.26,1735,4,0,5354.9135,5358.39401943998,5317.4922,5328.035369124958,5283.550499999999,5277.940194245638,73.22348094747687,22.83220289426663,20.872452955917687,1.959749938348942,14.6542857142859,1,5293.41,5396.03,False,False,NONE
2026-01-28 23:20:00,5386.26,5389.73,5383.4,5386.37,1400,4,0,5358.6895,5361.058398540935,5319.3066,5330.32300171477,5284.282950000001,5279.0270304196765,76.90161130614814,22.233671646106814,21.144696693955513,1.0889749521513004,14.420000000000202,1,5304.59,5396.03,False,False,NONE
2026-01-28 23:25:00,5386.37,5389.96,5382.0,5384.33,1916,4,0,5362.102499999999,5363.274741537036,5321.1292,5332.440923221911,5285.00545,5280.082447825777,72.56610874517183,21.34862668932965,21.18548269303034,0.16314399629930776,13.721428571428728,1,5310.72,5396.03,False,False,NONE
2026-01-28 23:30:00,5384.33,5389.73,5380.42,5386.06,1532,4,0,5365.6075,5365.444766152556,5322.8733999999995,5334.543632120665,5285.7198,5281.144549430075,73.37116024261444,20.549931903373363,21.058372535098947,-0.5084406317255841,13.7085714285715,1,5314.7,5396.03,False,False,NONE
2026-01-28 23:35:00,5386.06,5387.62,5383.23,5383.76,1151,4,0,5368.5295,5367.1890741380275,5324.493399999999,5336.473685767838,5286.410749999999,5282.172882492607,66.50782845473142,19.506510838553368,20.74800019578983,-1.241489357236464,12.705000000000057,1,5321.19,5396.03,False,False,NONE
2026-01-28 23:40:00,5383.76,5386.39,5382.93,5386.37,948,4,0,5371.2335,5369.015828982025,5326.3502,5338.430403977742,5287.10275,5283.216991691295,65.69037656903782,18.674924410690437,20.333385038769954,-1.658460628079517,12.18214285714287,1,5321.19,5396.03,False,False,NONE
2026-01-28 23:45:00,5386.37,5401.8,5382.8,5399.27,1519,4,0,5374.59,5371.897178602784,5328.639400000001,5340.816270493949,5287.82985,5284.379821356998,63.99121737009065,18.83963676024905,20.034635383065776,-1.1949986228167262,12.166428571428566,1,5321.19,5401.8,False,False,BOS_BULLISH
2026-01-28 23:50:00,5399.15,5411.26,5391.33,5408.68,1847,4,0,5378.694,5375.400304450138,5331.0548,5343.4775932256025,5288.6037,5285.625199506978,64.79847364655421,19.504643452806704,19.928636997013964,-0.42399354420726,12.392857142857142,1,5321.19,5411.26,False,False,BOS_BULLISH
2026-01-28 23:55:00,5408.68,5418.95,5408.35,5416.2,1229,4,0,5382.566000000001,5379.285989740601,5333.5926,5346.329452320897,5289.3964000000005,5286.933353741794,65.89254766031222,20.403270993097976,20.023563796230768,0.37970719686720855,12.172857142857083,1,5332.69,5418.95,False,False,BOS_BULLISH
2026-01-29 01:00:00,5416.2,5453.06,5416.2,5440.83,1952,27,0,5387.6935,5385.14732405102,5336.3872,5350.035356159068,5290.315250000001,5288.475051097054,88.94455941618594,22.839594325313556,20.586769902047326,2.2528244232662296,13.116428571428514,1,5337.41,5453.06,False,False,BOS_BULLISH
2026-01-29 01:05:00,5440.91,5457.03,5432.4,5452.7,3510,4,0,5392.5955,5391.580912236637,5339.480599999999,5354.06142063137,5291.2828,5290.120103719432,89.44247971707958,25.435008966504938,21.55641771493885,3.878591251566089,13.812857142857151,1,5353.15,5457.03,False,False,BOS_BULLISH
2026-01-29 01:10:00,5452.7,5475.21,5448.49,5474.76,3013,4,0,5398.365,5399.502730118862,5343.092,5358.794698262652,5292.38115,5291.9695306966405,90.5546249767358,28.938367913689035,23.03280775468889,5.905560159000146,14.731428571428621,1,5358.8,5475.21,False,False,BOS_BULLISH
2026-01-29 01:15:00,5474.76,5496.18,5473.5,5492.22,4854,4,0,5404.1595,5408.332946298018,5346.8423999999995,5364.027063046205,5293.54405,5293.975186734945,91.57326691573296,32.74620335192412,24.97548687413594,7.770716477788184,15.645714285714348,1,5367.48,5496.18,False,False,BOS_BULLISH
2026-01-29 01:20:00,5492.22,5493.92,5472.09,5484.74,3680,4,0,5409.2035000000005,5415.609808555349,5350.5388,5368.7609037193515,5294.64305,5295.885711819959,89.79159882774344,34.75967894197129,26.932325287703012,7.827353654268276,16.02142857142865,1,5367.48,5496.18,False,False,BOS_BULLISH
2026-01-29 01:25:00,5484.74,5491.77,5480.55,5490.46,3020,4,0,5414.2919999999995,5422.738398216745,5354.139,5373.533417307017,5295.77125,5297.8342627761585,90.7540675844802,36.397362906345734,28.825332811431558,7.572030094914176,16.065714285714357,1,5367.48,5496.18,False,False,BOS_BULLISH
